merchantid,merchantSlug,businessType,Industry,customerSegment,market,First_Shipment_Month,Delivery_Month,Delivery_Year,delivery_quarter,GMV,First_Shipment_Quarter_Year,Delivery_Month_Year,Delivery_Quarter_Year
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,3,2022,$1.00,62.23226625,2021-02-01,3-2022,1-2022
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,8,2021,$3.00,58.32,2021-02-01,8-2021,3-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,5,2021,$2.00,94.77,2021-02-01,5-2021,2-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,1,2022,$1.00,92.678976,2021-02-01,1-2022,1-2022
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,10,2021,$4.00,122.1075,2021-02-01,10-2021,4-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,7,2021,$3.00,123.93,2021-02-01,7-2021,3-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,6,2021,$2.00,138.51,2021-02-01,6-2021,2-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,12,2021,$4.00,174.96,2021-02-01,12-2021,4-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,11,2021,$4.00,182.25,2021-02-01,11-2021,4-2021
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,2,2022,$1.00,176.85045,2021-02-01,2-2022,1-2022
KxRoEXnfQ8zU2tZ5Q66k,station-cold-brew,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,6,2021,$2.00,1039.23,2021-02-01,6-2021,2-2021
